character,short description,tags,LLM description
🇭🇺,HUNGARY,['Hungary' 'flag' 'Central Europe' 'culture' 'history'],"This emoji represents Hungary, a Central European country known for its rich history, beautiful architecture, and cultural contributions to the world, including music, literature, and film."
🆔,ID BUTTON,['ID' 'button' 'identification' 'authentication' 'verification' 'personal'],"This emoji represents an ID button, often used to symbolize identification, authentication, or personal information verification."
🇮🇸,ICELAND,['Iceland' 'flag' 'Nordic' 'landscape' 'culture' 'arts'],"This emoji represents Iceland, a Nordic island nation known for its stunning landscapes, including glaciers, geysers, and volcanoes, as well as its rich cultural heritage and vibrant arts scene."
🇮🇳,INDIA,['India' 'flag' 'culture' 'history' 'geography' 'South Asia'],"This emoji represents India, a country known for its rich history, diverse culture, and vibrant landscapes, including the Himalayan mountains, the Thar desert, and the tropical forests."
🇮🇩,INDONESIA,"['Indonesia' 'flag' 'culture' 'Southeast Asia' 'history' 'islands'
 'nature' 'beauty']","This emoji represents Indonesia, a Southeast Asian country known for its diverse culture, rich history, and thousands of islands with unique ecosystems and natural beauty."
🇮🇷,IRAN,['Iran' 'flag' 'culture' 'history' 'Persian Empire'],"This emoji represents Iran, a country with a rich history, diverse culture, and significant contributions to art, literature, and science, known for its ancient civilization, the Persian Empire."
🇮🇶,IRAQ,['Iraq' 'flag' 'culture' 'Middle East' 'history'],"This emoji represents Iraq, a country in Western Asia known for its rich history, cultural heritage, and diverse landscapes including deserts, mountains, and rivers."
🇮🇪,IRELAND,['Ireland' 'flag' 'culture' 'history' 'landscape'],"This emoji represents Ireland, a country known for its rich history, vibrant culture, and stunning landscapes, including the iconic Cliffs of Moher and the Ring of Kerry."
🇮🇲,ISLE OF MAN,"['Isle of Man' 'flag' 'British Crown dependency' 'culture' 'history'
 'landscape']","This emoji represents the Isle of Man, a self-governing British Crown dependency located in the Irish Sea, known for its rich history, stunning landscapes, and vibrant culture."
🇮🇱,ISRAEL,['Israel' 'flag' 'Middle East' 'culture' 'history'],"This emoji represents Israel, a country in the Middle East known for its rich history, diverse culture, and significant contributions to science, technology, and arts."
🇮🇹,ITALY,"['Italy' 'flag' 'Europe' 'culture' 'history' 'art' 'fashion' 'cuisine'
 'landmarks']","This emoji represents Italy, a European country known for its rich history, art, fashion, and cuisine, as well as its beautiful landscapes and iconic landmarks like the Leaning Tower of Pisa and the Colosseum."
🇯🇲,JAMAICA,"['Jamaica' 'flag' 'Caribbean' 'culture' 'music' 'reggae' 'beach' 'sports'
 'politics']","This emoji represents Jamaica, a Caribbean island nation known for its vibrant culture, beautiful beaches, and reggae music, as well as its contributions to sports and politics."
🇯🇵,JAPAN,['Japan' 'flag' 'culture' 'technology' 'tradition'],"This emoji represents Japan, a country known for its rich culture, technology, and unique traditions such as tea ceremonies, anime, and sushi."
🉑,JAPANESE ACCEPTABLE BUTTON,['Japanese' 'acceptable' 'approval' 'agreement' 'button' 'form' 'survey'],"This emoji represents the Japanese 'acceptable' button, often used in forms or surveys to indicate approval or agreement."
🈸,JAPANESE APPLICATION BUTTON,['Japanese' 'button' 'application' 'function' 'action' 'culture'],"This emoji represents a Japanese application button, often used in online platforms and software to indicate a specific function or action, commonly found in Japanese culture."
🉐,JAPANESE BARGAIN BUTTON,['Japanese' 'bargain' 'auction' 'negotiation' 'haggle' 'sales' 'price'],"This emoji represents a Japanese bargain button, used in auctions and sales to signal a lower price or a desire to negotiate, often associated with the concept of 'haggle' or 'bargain'."
🏯,JAPANESE CASTLE,"['Japanese castle' 'architecture' 'history' 'culture' 'traditional'
 'symbol' 'complex']","This emoji represents a Japanese castle, a symbol of traditional Japanese architecture, history, and culture, often featuring a complex design with multiple buildings, walls, and towers."
㊗️,JAPANESE CONGRATULATIONS BUTTON,"['Japanese' 'congratulations' 'success' 'praise' 'acknowledgment' 'button'
 'emoji']","This emoji represents a Japanese congratulations button, often used to express praise, success, or acknowledgment in various contexts, such as social media, messaging, and gaming."
㊗,JAPANESE CONGRATULATIONS BUTTON,"['Japanese' 'congratulations' 'success' 'celebration' 'achievement'
 'praise' 'milestone' 'special occasion']","This emoji represents a Japanese congratulations button, often used to express praise, success, or celebration in various contexts, such as achievements, milestones, or special occasions."
🈹,JAPANESE DISCOUNT BUTTON,['Japanese' 'discount' 'sale' 'promotion' 'button' 'offer' 'retail'],"This emoji represents a Japanese discount button, often used to indicate sales, discounts, or promotional offers in Japan."
🎎,JAPANESE DOLLS,"['Japanese dolls' 'tradition' 'festival' 'ceremony' 'luck' 'happiness'
 'celebration']","This emoji represents Japanese dolls, often used in traditional festivals and ceremonies, symbolizing good luck, happiness, and the celebration of life."
🈚,JAPANESE FREE OF CHARGE BUTTON,['free of charge' 'Japan' 'button' 'cost' 'service' 'availability'],"This emoji represents the Japanese 'free of charge' button, often used to indicate that a service or item is available without any cost."
🈁,JAPANESE HERE BUTTON,['Japanese' 'here' 'button' 'location' 'public' 'direction'],"This emoji represents a Japanese 'here' button, commonly found in public spaces like train stations and shops, indicating the current location or position of an object or person."
🈷️,JAPANESE MONTHLY AMOUNT BUTTON,"['Japanese' 'monthly' 'button' 'fee' 'charge' 'recurring' 'retail'
 'services']","This emoji represents a Japanese monthly amount button, often used in retail and services to indicate a recurring fee or charge for a month."
🈷,JAPANESE MONTHLY AMOUNT BUTTON,['Japanese' 'monthly' 'button' 'fee' 'cost' 'recurring'],"This emoji represents a Japanese monthly amount button, often used in retail and services to indicate a recurring fee or cost for a month."
🈵,JAPANESE NO VACANCY BUTTON,['Japanese' 'No Vacancy' 'occupied' 'restroom' 'unavailable' 'public'],"This emoji represents the Japanese 'No Vacancy' button, commonly found in public restrooms, indicating that the facility is currently occupied and unavailable for use."
🈶,JAPANESE NOT FREE OF CHARGE BUTTON,['Japanese' 'not free' 'charge' 'button' 'sign' 'retail' 'public space'],"This emoji represents a Japanese button or sign indicating that a service or item is not free of charge, often used in retail settings or public spaces."
🈺,JAPANESE OPEN FOR BUSINESS BUTTON,['Japanese' 'business' 'open' 'store' 'service' 'establishment'],"This emoji represents the Japanese 'Open for Business' button, often used to indicate that a store, service, or establishment is available for customers or clients."
🈴,JAPANESE PASSING GRADE BUTTON,['Japanese' 'passing grade' 'education' 'exam' 'success' 'approval'],"This emoji represents a Japanese passing grade button, often used in schools and exams to indicate that a student has passed or met the minimum requirements."
🏣,JAPANESE POST OFFICE,['Japanese' 'post office' 'gate' 'travel' 'culture' 'welcome'],"This emoji represents a Japanese post office or a traditional Japanese gate, often used to symbolize travel, welcoming, or cultural exploration."
🈲,JAPANESE PROHIBITED BUTTON,"['Japanese' 'prohibited' 'no smoking' 'no entry' 'forbidden' 'rules'
 'culture' 'norms']","This emoji represents a Japanese prohibited button, often used to indicate 'no smoking', 'no entry', or 'forbidden' in various contexts, reflecting the cultural norms and rules in Japan."
🈯,JAPANESE RESERVED BUTTON,['Japanese' 'reserved' 'unavailable' 'caution' 'hesitation' 'out of stock'],"This emoji represents a Japanese reserved button, often used to indicate that something is temporarily unavailable, out of stock, or to show a sense of caution or hesitation."
㊙️,JAPANESE SECRET BUTTON,['Japanese' 'secret button' 'restroom' 'sound' 'notification' 'privacy'],"This emoji represents a Japanese secret button, often found in public restrooms, which when pressed, plays a sound to signal that someone is using the facility."
㊙,JAPANESE SECRET BUTTON,['Japanese' 'secret button' 'restroom' 'etiquette' 'recording' 'public'],"This emoji represents a Japanese secret button, often found in public restrooms, which when pressed, plays a recording that explains the proper etiquette and usage of the facilities."
🈂️,JAPANESE SERVICE CHARGE BUTTON,['Japanese' 'service charge' 'button' 'retail' 'restaurant' 'price'],"This emoji represents a Japanese service charge button, often used in retail and restaurants to indicate that a service charge is included or not included in the price."
🈂,JAPANESE SERVICE CHARGE BUTTON,['Japanese' 'service charge' 'button' 'retail' 'restaurant' 'price'],"This emoji represents a Japanese service charge button, often used in retail and restaurants to indicate that a service charge is included or not included in the price."
🔰,JAPANESE SYMBOL FOR BEGINNER,"['beginner' 'novice' 'Japanese' 'symbol' 'starting point' 'entry level'
 'learning']","This emoji represents the Japanese symbol for 'beginner' or 'novice', often used to indicate a starting point or entry level in various contexts, such as learning a language or skill."
🈳,JAPANESE VACANCY BUTTON,"['Japanese vacancy button' 'out of stock' 'unavailable' 'store' 'business'
 'product']","This emoji represents a Japanese vacancy button, often used in stores and businesses to indicate that a product is out of stock or temporarily unavailable."
🇯🇪,JERSEY,['Jersey' 'flag' 'island' 'British' 'culture' 'history'],"This emoji represents Jersey, a British Crown Dependency located off the coast of Normandy, France, known for its stunning beaches, rich history, and vibrant culture."
🇯🇴,JORDAN,['Jordan' 'flag' 'Middle East' 'history' 'archaeology' 'Petra'],"This emoji represents Jordan, a country in Western Asia known for its historical and archaeological sites, including the ancient city of Petra, and its strategic role in the Middle East."
🇰🇿,KAZAKHSTAN,['Kazakhstan' 'flag' 'Central Asia' 'culture' 'history' 'nomadic'],"This emoji represents Kazakhstan, a Central Asian country known for its diverse landscapes, rich history, and cultural heritage, including the nomadic traditions of the Kazakh people."
🇰🇪,KENYA,['Kenya' 'flag' 'Africa' 'culture' 'wildlife' 'nature'],"This emoji represents Kenya, a country in East Africa known for its diverse landscapes, rich wildlife, and vibrant culture, including the Maasai people and their distinctive customs."
🇰🇮,KIRIBATI,"['Kiribati' 'flag' 'Pacific Ocean' 'island nation' 'culture'
 'climate change']","This emoji represents Kiribati, a sovereign nation in the Pacific Ocean known for its beautiful coral atolls, rich cultural heritage, and the ongoing challenges of climate change and rising sea levels."
🇽🇰,KOSOVO,['Kosovo' 'flag' 'Southeast Europe' 'culture' 'history'],"This emoji represents Kosovo, a partially recognized state in Southeast Europe known for its rich history, diverse culture, and beautiful landscapes."
🇰🇼,KUWAIT,"['Kuwait' 'flag' 'Middle East' 'culture' 'Arabian Peninsula'
 'oil industry']","This emoji represents Kuwait, a small country on the Arabian Peninsula known for its rich cultural heritage, beautiful architecture, and thriving oil industry."
